Date,avg_wind_speed_m_s,Mean viral gene copies/L,smoothed,zscore
2024-05-28,9.001294,433399,492987.971428571,-0.579850864649285
2024-05-29,10.200306,456404,484228.485714286,-0.544877255829816
2024-05-30,10.937894,479409,484743.828571429,-0.509903647010346
2024-05-31,8.910474,496898,499332.714285714,-0.483315798949329
2024-06-01,9.019864,514387,527995.142857143,-0.456727950888312
2024-06-02,12.745509,531876,539741.071428572,-0.430140102827295
2024-06-03,11.565556,582956,534570.5,-0.352485160923427
2024-06-04,11.599872,634036,533529.642857143,-0.274830219019559
2024-06-05,7.7065907,538625.5,536618.5,-0.419879099883283
2024-06-06,7.2280807,443215,543837.071428572,-0.564927980747007
2024-06-07,9.570892,489612,537644.178571429,-0.494392422025124
2024-06-08,10.539931,536009,518039.821428571,-0.423856863303241
2024-06-09,9.485593,582406,505951.214285714,-0.353321304581359
2024-06-10,8.572669,539605.75,501378.357142857,-0.41838886384567
2024-06-11,7.6180587,496805.5,486197.166666667,-0.483456423109981
2024-06-12,8.309117,454005.25,460407.642857143,-0.548523982374293
2024-06-13,10.087248,411205,424009.785714286,-0.613591541638604
2024-06-14,9.353577,383343.666666667,590739.857142857,-0.65594804558074
2024-06-15,7.152286,355482.333333333,960597.857142857,-0.698304549522876
2024-06-16,14.609647,327621,1533583.78571429,-0.740661053465012
2024-06-17,13.340698,1706716.25,2309697.64285714,1.35592394102697
2024-06-18,13.45534,3085811.5,3016545.78571429,3.45250893551895
2024-06-19,9.467525,4464906.75,3654128.21428571,5.54909393001093
2024-06-20,9.709792,5844002,4222444.92857143,7.64567892450291
2024-06-21,8.787351,5331280.66666667,4346209.53571429,6.86620857695253
2024-06-22,7.0535026,4818559.33333333,4025422.03571429,6.08673822940214
2024-06-23,7.3042607,4305838,3522867.57142857,5.30726788185175
2024-06-24,8.373345,2573068.5,2838546.14285714,2.67300564897598
2024-06-25,8.847221,840299,2203705.66666667,0.0387434161002046
2024-06-26,9.157419,947025.5,1618346.14285714,0.200995572660564
2024-06-27,10.64284,1053752,1082467.57142857,0.363247729220924
2024-06-28,10.316764,887397.333333333,800917.928571429,0.110345184674383
2024-06-29,10.554222,721042.666666667,773697.214285714,-0.142557359872159
2024-06-30,8.919079,554688,778302.285714286,-0.3954599044187
2024-07-01,9.911384,602221,814733.142857143,-0.323197328977891
2024-07-02,8.17943,649754,866533.013605442,-0.250934753537081
2024-07-03,8.025056,979261,933701.897959184,0.250001952451914
2024-07-04,9.220032,1308768,1016239.79591837,0.750938658440909
2024-07-05,8.487627,1249996.42857143,1083591.32653061,0.661590518956086
2024-07-06,11.32124,1191224.85714286,1135756.48979592,0.572242379471263
2024-07-07,8.080044,1132453.28571429,1132453.28571429,0.48289423998644
2024-07-08,7.8655853,1073681.71428571,1073681.71428571,0.393546100501618
2024-07-09,7.242382,1014910.14285714,1072519.51020408,0.304197961016795
2024-07-10,8.977683,956138.571428571,1128966.67346939,0.214849821531972
2024-07-11,8.714554,897367,1243023.20408163,0.125501682047149
2024-07-12,8.469479,1241861,1286317.81632653,0.649222542584172
2024-07-13,8.509171,1586355,1258850.51020408,1.1729434031212
2024-07-14,8.5184765,1930849,1315938.57142857,1.69666426365822
2024-07-15,10.917405,1376744,1457582,0.854279933516424
2024-07-16,10.543249,822639,1568530.19047619,0.0118956033746308
2024-07-17,9.316691,1355755,1648783.14285714,0.822371171268572
2024-07-18,9.228078,1888871,1698340.85714286,1.63284673916251
2024-07-19,8.762345,2018498.33333333,1761739.57142857,1.82991414400107
2024-07-20,9.091521,2148125.66666667,1838979.28571429,2.02698154883962
2024-07-21,9.377373,2277753,1829250.14285714,2.22404895367818
2024-07-22,8.235843,1820535,1732552.14285714,1.52895817005635
2024-07-23,8.83298,1363317,1615443.80952381,0.833867386434529
2024-07-24,9.231936,1287651,1477925.14285714,0.718835302759938
2024-07-25,9.462613,1211985,1319996.14285714,0.603803219085348
2024-07-26,8.78432,1198740,1202917.21428571,0.583667359541167
2024-07-27,8.20781,1185495,1126688.35714286,0.563531499996987
2024-07-28,10.338592,1172250,1121653.14285714,0.543395640452807
2024-07-29,10.624972,1000982.5,1187811.57142857,0.283024306026011
2024-07-30,8.106502,829715,1243535.76190476,0.0226529715992152
2024-07-31,8.001378,1252404.5,1288825.71428571,0.665251416506714
2024-08-01,8.72816,1675094,1323681.42857143,1.30784986141421
2024-08-02,8.804675,1588809.33333333,1400553.14285714,1.1766746308505
2024-08-03,9.736682,1502524.66666667,1519440.85714286,1.04549940028678
2024-08-04,9.148992,1416240,1633427.35714286,0.914324169723064
2024-08-05,9.14861,1539084.5,1742512.64285714,1.1010798962444
2024-08-06,8.932,1661929,1866582.54761905,1.28783562276573
2024-08-07,10.033107,2050310,2005637.07142857,1.87827618642208
2024-08-08,7.9818993,2438691,2159676.21428571,2.46871675007842
2024-08-09,7.748764,2457298.66666667,2210054.07142857,2.4970052636643
2024-08-10,6.7501163,2475906.33333333,2156770.64285714,2.52529377725018
2024-08-11,8.604135,2494514,2082999,2.55358229083605
2024-08-12,7.5835667,1891729.5,1988739.14285714,1.63719240579196
2024-08-13,6.999583,1288945,1928566.21904762,0.720802520747871
2024-08-14,7.5553207,1533908.5,1902480.22857143,1.09321102429267
2024-08-15,6.3644886,1778872,1910481.17142857,1.46561952783746
2024-08-16,9.749982,2036088.2,2041339.35714286,1.85665533574141
2024-08-17,9.082279,2293304.4,2295054.78571429,2.24769114364536
2024-08-18,8.389067,2550520.6,2481203.2,2.63872695154931
2024-08-19,9.852679,2807736.8,2599784.6,3.02976275945326
2024-08-20,8.589536,3064953,2649048.6,3.42079856735721
2024-08-21,9.273171,2836947.4,2628995.2,3.07417050115211
2024-08-22,9.129682,2608941.8,2539624.4,2.727542434947
2024-08-23,9.05977,2380936.2,2345908.07142857,2.3809143687419
2024-08-24,9.603747,2152930.6,2047846.21428571,2.0342863025368
2024-08-25,8.775165,1924925,1796091.65714286,1.6876582363317
2024-08-26,8.113158,1451722.5,1590644.4,0.968266837618601
2024-08-27,7.5890503,978520,1418013.51428571,0.248875438905501
2024-08-28,8.160684,1074665.5,1278199,0.39504171174846
2024-08-29,8.690849,1170811,1171200.85714286,0.541207984591419
2024-08-30,8.297094,1172520,1160661.57142857,0.543806110975791
2024-08-31,7.4985065,1174229,1246581.14285714,0.546404237360163
2024-09-01,7.334991,1175938,1240229.78571429,0.549002363744535
2024-09-02,7.0172477,1377947.5,1141607.5,0.856109567866097
2024-09-03,7.3986096,1579957,1045916.64285714,1.16321677198766
2024-09-04,8.888099,1030206,953157.214285714,0.32745165909429
2024-09-05,6.8941383,480455,863329.214285714,-0.508313453799081
2024-09-06,8.708095,502684,750237.142857143,-0.474519567667893
2024-09-07,6.456303,524913,613881,-0.440725681536705
2024-09-08,7.6584697,547142,724168.785714286,-0.406931795405517
2024-09-09,8.502818,586303,1081100.5,-0.347396846699617
2024-09-10,11.638478,625464,1365884.54761905,-0.287861897993717
2024-09-11,9.926126,1802220.5,1578520.92857143,1.50111534637784
2024-09-12,11.969218,2978977,1719009.64285714,3.2900925907494
2024-09-13,11.508068,2496172.33333333,1823433.21428571,2.55610339065315
2024-09-14,7.8191667,2013367.66666667,1891791.64285714,1.8221141905569
2024-09-15,8.34958,1530563,1745892.21428571,1.08812499046065
2024-09-16,13.753612,1317268,1385734.92857143,0.763860878608937
2024-09-17,8.404777,1103973,1088343.28095238,0.439596766757223
2024-09-18,8.625754,780924.5,853717.271428571,-0.0515213322958646
2024-09-19,8.028116,457876,681856.9,-0.542639431348952
2024-09-20,8.252624,414430.8,534260.785714286,-0.608687483071778
2024-09-21,8.19845,370985.6,410928.928571429,-0.674735534794603
2024-09-22,10.267741,327540.4,333125.571428571,-0.740783586517429
2024-09-23,9.728019,284095.2,300850.714285714,-0.806831638240255
2024-09-24,9.905715,240650,305840.552380952,-0.87287968996308
2024-09-25,11.923135,236301,348095.085714286,-0.879491305905522
2024-09-26,11.522075,231952,427614.314285714,-0.886102921847963
2024-09-27,9.602763,449359.666666667,559321.071428572,-0.555586482449852
2024-09-28,9.188589,666767.333333333,743215.357142857,-0.225070043051741
2024-09-29,10.318459,884175,844282.5,0.10544639634637
2024-09-30,6.4634414,1206042.5,862522.5,0.5947690669267
