Date,avg_wind_speed_m_s,Mean viral gene copies/L,smoothed,zscore,Mean viral gene copies/ML
2022-10-31,8.380565,743848,1385977.39285714,-0.737986824685383,0.743848
2022-11-01,11.627101,1927085,1329795.75,-0.518584606775582,1.927085
2022-11-02,18.282902,1186407,1252053.78571429,-0.65592513615135,1.186407
2022-11-03,22.100374,1133036.25,1152751.5,-0.665821429895976,1.13303625
2022-11-04,10.926983,1079665.5,1216419.92857143,-0.675717723640601,1.0796655
2022-11-05,8.725328,1026294.75,1141997.78571429,-0.685614017385227,1.02629475
2022-11-06,10.974056,972924,1234888.35714286,-0.695510311129853,0.972924
2022-11-07,13.069759,1189527,1350119.5,-0.655346608840356,1.189527
2022-11-08,23.7988,1406130,1487691.21428571,-0.61518290655086,1.40613
2022-11-09,13.585095,1836641,1647603.5,-0.535355223479281,1.836641
2022-11-10,11.209572,1939654.25,1829856.35714286,-0.516253948312854,1.93965425
2022-11-11,8.754313,2042667.5,2090018.35714286,-0.497152673146428,2.0426675
2022-11-12,8.966509,2145680.75,2361929.71428571,-0.478051397980001,2.14568075
2022-11-13,10.769916,2248694,2615032.14285714,-0.458950122813575,2.248694
2022-11-14,9.561038,3010661,2896111.03571429,-0.317662071667374,3.010661
2022-11-15,8.282997,3309509.5,3205166.39285714,-0.26224796298161,3.3095095
2022-11-16,14.265676,3608358,3542198.21428571,-0.206833854295846,3.608358
2022-11-17,9.540967,3907206.5,3907206.5,-0.151419745610082,3.9072065
2022-11-18,7.9746394,4206055,4002316.78571429,-0.0960056369243182,4.206055
2022-11-19,9.586361,4504903.5,4144361.42857143,-0.0405915282385543,4.5049035
2022-11-20,10.669087,4803752,4277948.71428572,0.0148225804472096,4.803752
2022-11-21,10.235053,3676433,4403078.64285714,-0.194211018816386,3.676433
2022-11-22,8.786734,4303822,4519751.21428572,-0.0778771498685656,4.303822
2022-11-23,8.1307535,4543469,4627966.42857143,-0.0334405041962023,4.543469
2022-11-24,13.85422,4783116,4727724.28571429,0.010996141476161,4.783116
2022-11-25,10.62046,5022763,4655314.14285714,0.0554327871485243,5.022763
2022-11-26,9.683026,5262410,4606912.14285714,0.0998694328208876,5.26241
2022-11-27,8.162539,5502057,4637910,0.144306078493251,5.502057
2022-11-28,12.970455,3169562,4728234.42857143,-0.288197786973703,3.169562
2022-11-29,11.601331,3965008,4877885.42857143,-0.140701878184948,3.965008
2022-11-30,10.319081,4760454,5086863,0.00679403060380667,4.760454
2022-12-01,9.64868,5415387,5355167.14285714,0.128235257325351,5.415387
2022-12-02,11.074113,6070320,6027376.80952381,0.249676484046895,6.07032
2022-12-03,8.234395,6725253,6656643.28571429,0.37111771076844,6.725253
2022-12-04,8.070081,7380186,7242966.57142857,0.492558937489984,7.380186
2022-12-05,7.465601,7875029.66666667,7642508.64285714,0.584315532310197,7.87502966666667
2022-12-06,8.319687,8369873.33333333,7855269.5,0.676072127130411,8.36987333333333
2022-12-07,8.229264,8864717,7881249.14285714,0.767828721950625,8.864717
2022-12-08,12.149849,8212181.5,7720447.57142857,0.646832052673987,8.2121815
2022-12-09,10.101186,7559646,7029754.33333333,0.525835383397349,7.559646
2022-12-10,8.374534,6907110.5,6385309.85714286,0.404838714120711,6.9071105
2022-12-11,19.624258,6254575,5623008.17142857,0.283842044844073,6.254575
2022-12-12,11.826203,3040177,4906760.58571429,-0.312189054965035,3.040177
2022-12-13,9.960145,3858762,4236567.1,-0.160402587378495,3.858762
2022-12-14,10.780463,3528605.2,3612427.71428571,-0.221622050747205,3.5286052
2022-12-15,9.535691,3198448.4,3034342.42857143,-0.282841514115916,3.1984484
2022-12-16,9.411088,2868291.6,3147277.85714286,-0.344060977484626,2.8682916
2022-12-17,9.303472,2538134.8,3128973,-0.405280440853336,2.5381348
2022-12-18,8.864147,2207978,3143533.82857143,-0.466499904222046,2.207978
2022-12-19,9.988096,3830725,3210130.3038961,-0.165601359884373,3.830725
2022-12-20,9.966044,3730628,3328762.42597403,-0.184161888169169,3.730628
2022-12-21,8.601952,3630531,3499430.19480519,-0.202722416453965,3.630531
2022-12-22,7.5508704,3664623.72727273,3722133.61038961,-0.196400758173984,3.66462372727273
2022-12-23,7.944633,3698716.45454545,3717886.41558442,-0.190079099894002,3.69871645454545
